ID	Problem	Complexity
1	Simple problem	47101 / 52622
2	Digits	26788 / 34176
3	Match’s model	3418 / 16090
4	Two circles	8262 / 13395
5	Two factors	2063 / 5560
6	The vouchers	1289 / 2040
7	Roman numerals	2889 / 4118
8	Matches	4380 / 6512
9	N-digit numbers	3142 / 4714
10	Gardener	2999 / 4110
11	Big accuracy	3781 / 6149
12	Injured Picture	803 / 1244
13	Spider and Fly	1527 / 2778
14	Rabbit-failure	1667 / 2234
15	Mouse and corns	3806 / 5038
16	Dragon	1647 / 2622
17	Gardener-painter	3689 / 4761
18	Paint2D	730 / 1526
19	Degree of symmetry	6999 / 8291
20	How many times to repeat?	5145 / 7683
21	Corruption	131 / 1653
22	"Mirror prime" numbers	2726 / 4868
23	New-year tree	796 / 1781
24	Paint2D-Crack	39 / 281
25	Paint3D	557 / 838
26	New-year presents	1181 / 1610
27	Cycle shifts	4224 / 5139
28	Product	598 / 1419
29	The level of  palindrome	2155 / 3004
30	Certification	101 / 246
31	Superstitious Santa Claus	1186 / 1408
32	Queen and pawn	156 / 450
33	The favourite numbers of Santa Claus	1689 / 2591
34	The word of sponsor	1278 / 1641
35	Triangles from Matches	633 / 1624
36	Gorynych the Dragon	1211 / 1732
37	Mail of the sponsor	937 / 1173
38	Firs conversation	93 / 220
39	Sponsor’s money	410 / 579
40	Pipeline (RU)	247 / 445
41	Command of the Mayor	418 / 632
42	Green spot	98 / 262
43	Competitors’ quantity of olimpia	2731 / 3751
44	The number of ones	2334 / 3438
45	The Fuel	144 / 208
46	The Segments	1267 / 1640
47	The Parquet of the Triangles	607 / 797
48	The Red and Blue Squares	409 / 601
49	The Smart Cat	695 / 1058
50	The cut number	364 / 524
51	The Cost of the K-dominoes	813 / 945
52	The Cheese for Anfisa	806 / 1009
53	Anfisa’s Holiday	92 / 188
54	Murzyk	466 / 1242
55	The presents to the 8th of March	709 / 1139
56	The Butterflies	35 / 171
57	The Butterfly – Medical Attendan	3595 / 4003
58	The Billiards	1040 / 1399
59	The Cells are Painted out	62 / 134
60	Area of a Polygon	2530 / 3235
61	Cleaning up the Snow	348 / 448
62	The Factorial	1876 / 3637
63	Anfisa and the flowers	6363 / 7566
64	The Timetable from "Diez-Product"	159 / 216
65	The Candies	126 / 535
66	The Directors’ Visitors	1385 / 1723
67	Cheese for Anfisa - 2	3713 / 4170
68	Metro	122 / 174
69	Vinnis’ Friends	327 / 379
70	Industrious bees	346 / 397
71	The Expression from the Numbers	159 / 225
72	The Way Home	526 / 636
73	Phibonachies’ Numbers	482 / 610
74	Spider and Fly - 2	86 / 377
75	Pirates and coins	5817 / 6462
